soc_2018_harmonized,occ_title,employment,median_wage,growth_profile_score,aioe_score
41-9021,Real Estate Brokers,49590.0,72280.0,2.5233261701686116,1.149681
15-2051,Data Scientists,233440.0,112590.0,2.522703019109222,
25-1052,"Chemistry Teachers, Postsecondary",20390.0,86220.0,2.522265739558206,1.333947
25-4022,Librarians and Media Collections Specialists,131830.0,64320.0,2.5217871690747824,
19-3093,Historians,3140.0,74050.0,2.5197839792950134,1.098921
25-2012,"Kindergarten Teachers, Except Special Education",114410.0,61430.0,2.518929211553488,0.3644047
41-3031,"Securities, Commodities, and Financial Services Sales Agents",472300.0,78140.0,2.5171122221103843,1.256298
25-1011,"Business Teachers, Postsecondary",81780.0,97270.0,2.5158061547902486,1.349314
31-2011,Occupational Therapy Assistants,47910.0,68340.0,2.514210628787622,-0.3153762
19-3011,Economists,15880.0,115440.0,2.5122038427036673,1.403764
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2630.0,77280.0,2.5120220865440936,1.211652
25-1194,"Career/Technical Education Teachers, Postsecondary",111150.0,61490.0,2.511433993600055,0.1622185
27-1011,Art Directors,50370.0,111040.0,2.5111224803752026,1.02251
27-1024,Graphic Designers,214260.0,61300.0,2.5111088420672854,0.7156958
27-2012,Producers and Directors,145270.0,83480.0,2.5097027994108316,0.9388108
25-1112,"Law Teachers, Postsecondary",22800.0,126650.0,2.5086394112659924,1.35645
15-1253,Software Quality Assurance Analysts and Testers,199800.0,102610.0,2.5070003954714326,
33-3011,Bailiffs,16910.0,57050.0,2.5030567083236255,-0.5103183
19-1012,Food Scientists and Technologists,14370.0,85310.0,2.5009020644798694,0.7943575
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",600680.0,78300.0,2.5003283958078164,-0.0205169
29-1222,"Physicians, Pathologists",11800.0,,2.49929772875513,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5910.0,87980.0,2.4959765292125025,-0.1443684
29-1211,Anesthesiologists,41890.0,,2.4948126382870464,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",102370.0,77020.0,2.494608424259351,1.440985
15-1243,Database Architects,64770.0,135980.0,2.49139956831018,
33-2022,Forest Fire Inspectors and Prevention Specialists,2780.0,52380.0,2.489066222936592,-0.2144127
19-2012,Physicists,21340.0,166290.0,2.487393196356967,1.345736
17-1022,Surveyors,53080.0,72740.0,2.486269553450279,0.1460606
19-3092,Geographers,1380.0,97200.0,2.486010994257065,1.436298
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13560.0,71470.0,2.482766772252688,1.389999
27-2041,Music Directors and Composers,12330.0,63670.0,2.482384751931677,0.8829641
