soc_code,title,spec_score,spec_residual,complexity_pc1,aioe_score,emp_2005,wage_2005,emp_2009,wage_2009,emp_2014,wage_2014,emp_2019,wage_2019,emp_2024,wage_2024,emp_growth,emp_cagr,real_wage_2005,real_wage_2009,real_wage_2014,real_wage_2019,real_wage_2024,real_wage_growth,spec_tercile,aioe_tercile,emp_growth_w
11-9121,Natural sciences managers,2.4175848586877264,0.02008020634476404,3.9479599711097664,1.327906,40400.0,93090.0,44180.0,114560.0,53290.0,120050.0,67720.0,129100.0,100870.0,161180.0,1.496782178217822,0.0493364801366063,149287.18894009216,167273.62237762238,158849.42965779468,158131.09112240907,161180.0,0.07966397615458036,Specification,High AI,1.496782178217822
11-9131,Postmasters and mail superintendents,2.7006829856723122,0.12204831061288068,5.778467763678062,0.8233757,26120.0,52710.0,24890.0,58770.0,17930.0,65800.0,13850.0,76900.0,13810.0,92730.0,-0.4712863705972435,-0.03298623032780745,84530.32258064515,85812.41958041958,87066.15969581749,94192.72585060618,92730.0,0.09700279342400525,Specification,High AI,-0.4712863705972435
11-9141,"Property, real estate, and community association managers",2.6866610100449844,0.2462058816496029,4.3820193276391946,1.215396,154230.0,41900.0,150850.0,48460.0,171140.0,54270.0,220750.0,58760.0,296640.0,66700.0,0.9233612137716397,0.035024359829457286,67194.47004608295,70758.37762237762,71809.73384030418,71973.53148220571,66700.0,-0.007358790771678582,Specification,High AI,0.9233612137716397
11-9151,Social and community service managers,2.606138990305181,0.1078770731083627,4.966217219172711,1.156153,112910.0,49500.0,113760.0,56600.0,116670.0,62740.0,156460.0,67150.0,195490.0,78240.0,0.7313789744043929,0.02931180746990303,79382.48847926267,82643.91608391608,83017.18631178707,82250.21509581541,78240.0,-0.014392197840473655,Specification,High AI,0.7313789744043929
11-9199,"Managers, all other",2.5833285558560175,0.036425568252681284,5.457785966764432,0.9646872,340720.0,79170.0,369170.0,92600.0,361900.0,105060.0,,,630980.0,136550.0,0.8519018548955154,0.03296392870965903,126963.87096774192,135208.95104895104,139014.75285171103,,136550.0,0.0755028100450218,Specification,High AI,0.8519018548955154
13-1011,"Agents and business managers of artists, performers, and athletes",2.228339459274528,0.27704783030897895,-0.5614880165183436,1.068559,10640.0,53800.0,11700.0,61890.0,11860.0,64200.0,17060.0,73740.0,14220.0,96310.0,0.33646616541353386,0.015381781395417793,86278.34101382489,90368.05594405594,84949.0494296578,90322.12749315605,96310.0,0.11627088407469124,Middle,High AI,0.33646616541353386
13-1021,"Purchasing agents and buyers, farm products",2.4398769988087716,0.15738276794939843,2.7856597097012927,0.7687054,12970.0,46680.0,11690.0,53150.0,11250.0,55080.0,,,,,,,74860.09216589862,77606.43356643357,72881.52091254752,,,,Specification,High AI,
13-1022,"Wholesale and retail buyers, except farm products",2.160558178268226,0.1723426205792966,-0.18833320625154928,0.8188258,132900.0,42870.0,116900.0,48650.0,110560.0,52270.0,,,,,,,68750.04608294931,71035.80419580419,69163.34600760456,,,,Middle,High AI,
13-1023,"Purchasing agents, except wholesale, retail, and farm products",2.6734955851010773,0.190987780804587,4.807005477261806,1.509181,267410.0,49030.0,281910.0,54810.0,288430.0,60980.0,,,,,,,78628.75576036866,80030.26573426573,80688.36501901141,,,,Specification,High AI,
13-1031,"Claims adjusters, examiners, and investigators",2.327421633011869,0.05810976856985928,2.652438148252882,1.274024,234030.0,46190.0,273930.0,57130.0,266280.0,62220.0,287960.0,66790.0,305020.0,76790.0,0.30333717899414603,0.014041245969235172,74074.28571428571,83417.79020979021,82329.12547528517,81809.2608525616,76790.0,0.03666203810846261,Specification,High AI,0.30333717899414603
13-1032,"Insurance appraisers, auto damage",2.209774766105336,-0.010511317067077197,2.156981496148208,0.6634955,12900.0,48090.0,10960.0,55390.0,13690.0,63420.0,13750.0,63270.0,7790.0,76650.0,-0.39612403100775195,-0.026197390317457048,77121.29032258064,80877.14685314686,83916.95817490494,77497.70825185765,76650.0,-0.006111027455704353,Middle,Medium AI,-0.39612403100775195
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",2.3639933416902457,0.039862705716986024,3.2064390088614543,0.6981205,161810.0,49360.0,247900.0,49750.0,246970.0,64950.0,317600.0,69050.0,397770.0,78420.0,1.4582535071998022,0.04847794230544733,79157.97235023041,72641.95804195805,85941.44486692015,84577.4736018772,78420.0,-0.009322779858045003,Specification,High AI,1.4582535071998022
13-1051,Cost estimators,2.4522194954973404,0.10600732766804866,3.4295959186222595,1.367669,204330.0,52020.0,197330.0,57300.0,209130.0,60050.0,210000.0,65250.0,219530.0,77070.0,0.0743894680174228,0.0037835904861167613,83423.77880184332,83666.01398601399,79457.79467680608,79922.95658975362,77070.0,-0.07616268278778722,Specification,High AI,0.0743894680174228
13-1071,"Employment, recruitment, and placement specialists",2.5873741403671744,0.17716058208997287,4.076396720571548,1.36005,181260.0,41780.0,198190.0,46200.0,456170.0,57420.0,633040.0,61920.0,917460.0,72910.0,4.061569016881827,0.08909970437994708,67002.02764976959,67458.46153846153,75977.79467680608,75844.12983965584,72910.0,0.08817602328562855,Specification,High AI,2.297350830987184
13-1081,Logisticians,2.5255414369760674,0.10501851667578466,4.180583576160905,1.297303,52220.0,60110.0,100420.0,67960.0,125670.0,73870.0,182050.0,74750.0,235640.0,80880.0,3.5124473381846038,0.0825369888813472,96397.60368663594,99231.10489510489,97744.33460076046,91559.24912006257,80880.0,-0.16097499411997537,Specification,High AI,2.297350830987184
