soc_code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
49-2021,3.0,3.25,3.0,3.0,3.25,3.38,2.88,3.38,2.75,3.0,2.62,1.88,1.88,2.38,2.75,3.12,2.38,2.88,1.25,3.12,2.62,2.0,3.12,3.25,3.5,1.75,2.5,3.0,3.25,3.0,2.88,1.88,3.12,3.0,3.0
49-2022,3.12,3.5,3.38,3.0,3.62,3.5,3.12,3.25,2.88,3.25,2.88,1.75,1.75,2.5,2.25,3.38,2.5,3.25,1.88,3.62,2.62,2.0,3.62,3.38,3.88,2.0,2.88,3.0,3.25,3.12,2.88,1.88,3.0,3.88,3.0
49-2091,3.0,3.38,3.5,3.0,3.75,3.88,3.0,2.75,2.88,3.25,2.62,1.5,1.75,2.62,2.12,3.12,2.38,2.5,2.25,3.75,2.88,1.62,3.75,3.25,3.88,2.88,2.75,2.88,3.38,3.0,2.88,1.88,3.12,3.88,3.25
49-2092,2.88,3.12,3.62,2.88,3.75,3.88,3.75,3.0,2.5,3.12,2.75,1.88,2.12,2.38,2.62,2.88,2.25,3.25,1.62,3.5,2.5,1.75,3.75,3.0,4.12,2.12,2.75,2.75,3.0,3.0,2.75,1.75,2.88,3.88,2.88
49-2093,2.25,3.38,3.12,3.0,3.62,3.0,2.62,2.75,2.12,3.0,2.12,2.0,2.0,2.25,2.12,3.12,2.25,3.0,2.12,3.25,2.88,1.62,3.25,3.12,3.12,2.12,2.25,3.0,3.0,2.25,2.25,2.0,3.0,3.0,3.0
49-2094,3.0,3.12,3.25,2.88,3.75,3.75,3.12,2.88,2.88,3.25,2.88,2.0,2.0,2.5,2.75,3.12,2.25,3.0,2.12,3.88,2.88,2.12,3.75,3.12,3.88,2.75,2.88,3.0,3.12,3.0,2.88,2.12,3.0,3.75,3.0
49-2095,2.88,3.12,3.12,2.88,3.75,3.62,2.88,1.62,2.75,3.0,2.25,2.0,2.0,2.75,2.25,3.0,2.5,2.88,2.12,3.25,2.38,1.88,3.25,3.38,3.62,2.62,2.88,2.62,3.12,3.0,2.75,1.88,3.0,3.5,2.88
49-2096,2.75,3.38,3.12,3.0,3.5,3.25,3.0,3.25,2.62,2.88,2.5,2.12,2.0,2.12,2.25,2.88,2.75,2.88,1.88,3.5,2.75,1.88,3.0,3.12,3.62,1.88,3.0,2.88,3.0,2.38,2.25,2.12,3.12,3.62,2.88
49-2097,2.88,3.12,3.38,2.88,3.12,3.38,3.0,3.38,2.75,3.25,2.62,1.88,2.12,2.38,2.25,2.88,2.12,2.88,1.88,3.12,2.5,1.62,3.62,3.12,3.62,1.75,3.0,2.75,3.38,2.88,2.75,1.75,3.0,3.62,2.75
49-2098,2.88,3.25,3.12,2.88,3.38,2.75,2.25,3.38,2.62,3.12,2.38,1.75,1.88,2.12,2.12,3.0,2.0,2.88,1.88,3.12,2.12,1.75,3.12,3.12,3.0,1.75,2.88,2.88,3.38,2.62,2.62,1.88,3.0,3.0,2.88
49-3011,3.0,3.25,3.88,3.0,3.88,4.25,3.25,2.38,3.0,3.25,2.62,1.5,2.12,2.62,2.25,3.38,2.38,3.38,2.12,4.12,2.88,1.5,3.88,3.75,4.25,2.5,3.0,3.0,3.38,3.12,3.0,2.0,3.0,4.12,2.88
49-3021,2.88,3.0,2.88,2.88,3.0,2.62,2.75,2.0,2.25,2.88,2.25,1.88,1.88,2.12,2.12,3.0,2.25,2.88,2.0,3.0,2.62,1.75,3.0,2.88,3.25,1.25,2.88,2.88,3.0,2.12,2.12,1.88,3.0,3.12,2.38
49-3022,2.62,2.88,2.75,2.75,2.88,2.12,3.0,3.12,2.38,2.75,2.38,1.38,1.75,2.0,2.0,2.88,2.38,2.75,1.75,2.75,2.38,1.12,2.75,2.5,2.38,1.5,2.88,2.88,3.0,2.12,2.0,1.62,2.88,2.25,2.38
49-3023,2.75,3.25,3.12,2.88,3.5,3.38,3.0,2.75,2.5,3.25,2.62,1.88,1.75,2.25,2.25,3.25,2.25,3.25,1.38,3.5,2.62,1.62,3.12,2.88,3.75,1.5,2.88,3.0,3.12,3.0,3.0,1.75,3.0,3.62,2.75
49-3031,2.75,3.0,3.0,2.88,3.25,3.38,3.12,2.12,2.12,3.12,2.75,1.88,1.88,2.0,2.0,3.0,2.0,3.0,1.88,3.5,2.0,1.88,3.25,2.88,4.0,1.75,2.12,2.75,3.12,2.88,2.75,1.88,3.0,4.0,2.62
49-3041,3.0,3.12,3.25,2.75,3.5,4.0,3.25,2.25,2.12,3.25,2.62,1.88,1.75,2.25,2.75,3.0,1.88,3.62,1.75,3.5,2.38,1.75,3.38,3.12,4.0,1.88,2.5,2.75,3.12,2.88,2.62,1.88,2.88,3.88,2.75
49-3042,3.0,3.0,3.12,2.88,3.25,4.0,3.38,2.38,2.75,3.12,2.62,1.75,2.5,2.75,2.88,3.0,2.38,3.62,1.88,3.75,2.5,1.62,3.38,3.12,4.12,1.88,2.62,2.88,3.0,2.75,2.5,1.88,3.0,4.12,3.0
49-3043,2.75,3.0,2.75,2.88,3.25,3.75,2.75,2.62,2.5,2.88,2.62,1.75,1.88,2.5,2.12,2.88,2.12,3.12,1.75,3.25,2.25,1.0,3.25,2.88,4.0,1.75,2.38,2.75,3.0,2.62,2.62,1.88,2.88,4.0,2.88
49-3051,2.38,3.12,3.12,2.5,3.38,3.88,3.12,1.62,1.88,3.12,2.0,1.75,2.0,1.88,2.25,2.88,1.88,3.62,1.5,3.5,2.0,1.62,3.12,2.75,4.0,2.0,2.62,2.62,3.0,2.25,2.25,1.88,2.75,3.75,2.5
49-3052,3.12,3.12,3.12,3.0,3.12,3.5,3.0,2.0,2.62,3.12,2.62,1.38,1.88,2.12,2.25,3.12,2.12,3.12,2.0,3.12,2.5,1.25,3.12,3.0,3.88,1.88,2.88,2.75,3.12,2.38,2.25,1.88,3.12,3.88,2.75
49-3053,2.75,3.12,3.0,2.75,3.25,3.88,3.25,1.75,2.12,2.88,2.5,1.75,2.0,1.88,2.0,2.88,2.0,3.25,1.5,3.38,2.12,1.38,3.12,2.88,3.88,1.75,2.38,2.75,2.88,2.25,2.38,1.75,2.75,3.75,2.62
49-3091,2.88,3.62,3.0,2.88,3.62,3.38,3.38,2.5,2.75,2.88,2.75,1.88,2.0,2.5,2.12,2.88,2.88,2.62,1.62,2.75,2.88,1.12,3.25,3.0,3.88,1.25,3.38,3.25,3.38,2.5,2.38,1.88,2.75,3.62,2.88
49-3092,3.0,3.38,3.25,3.0,3.38,3.12,3.12,1.62,2.75,3.0,2.38,1.62,1.75,2.12,2.0,3.0,2.62,3.12,1.75,3.12,2.62,1.5,3.12,3.0,3.88,1.62,2.88,2.88,3.38,2.75,2.75,1.88,3.0,3.5,2.88
